Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DameHeight,YearComissioned,Retrofit,lon,lat,projectID,YearDecommissioning
Bio 75,Bioenergy,OCGT,CHP,DE,0.125,,,,,01.03.1994,,9.69107696,47.70814236,{'JRC': ['00000']},
Bio 76,Bioenergy,OCGT,CHP,DE,0.11,,,,,31.03.1994,,12.74266212,48.52266715,{'JRC': ['00000']},
Bio 77,Bioenergy,OCGT,CHP,DE,3.906,,,,,01.04.1994,,7.765070814,48.25185834,{'JRC': ['00000']},
Bio 78,Bioenergy,OCGT,CHP,DE,3.906,,,,,01.04.1994,,7.765070814,48.25185834,{'JRC': ['00000']},
Bio 79,Bioenergy,OCGT,CHP,DE,0.04,,,,,05.04.1994,,9.680983205,48.34265667,{'JRC': ['00000']},
Bio 80,Bioenergy,OCGT,CHP,DE,1.92,,,,,26.06.1994,,11.81709281,50.42137517,{'JRC': ['00000']},
Bio 81,Bioenergy,OCGT,CHP,DE,0.16,,,,,01.07.1994,,12.18694495,47.80169288,{'JRC': ['00000']},
Bio 82,Bioenergy,OCGT,CHP,DE,0.496,,,,,01.07.1994,,9.909122992,51.2015557,{'JRC': ['00000']},
Bio 83,Bioenergy,OCGT,CHP,DE,0.22,,,,,01.08.1994,,9.760339656,47.716661,{'JRC': ['00000']},
Bio 84,Bioenergy,OCGT,CHP,DE,0.25,,,,,15.09.1994,,8.617978286,50.54416924,{'JRC': ['00000']},
Bio 85,Bioenergy,OCGT,CHP,DE,0.27,,,,,10.10.1994,,11.92296344,48.46841278,{'JRC': ['00000']},
Bio 86,Bioenergy,OCGT,CHP,DE,0.029,,,,,02.11.1994,,12.40162143,48.01716559,{'JRC': ['00000']},
Bio 87,Bioenergy,OCGT,CHP,DE,0.508,,,,,01.12.1994,,6.417240406,50.22873718,{'JRC': ['00000']},
Bio 88,Bioenergy,OCGT,CHP,DE,0.099,,,,,06.12.1994,,10.9256534,49.48781981,{'JRC': ['00000']},
Bio 89,Bioenergy,OCGT,CHP,DE,8.1,,,,,06.12.1994,,9.762847452,49.12496191,{'JRC': ['00000']},
Bio 90,Bioenergy,OCGT,CHP,DE,0.12,,,,,19.12.1994,,12.01217902,47.78637933,{'JRC': ['00000']},
Bio 91,Bioenergy,OCGT,CHP,DE,0.21,,,,,22.12.1994,,8.208213492,50.08193242,{'JRC': ['00000']},
Bio 92,Bioenergy,OCGT,CHP,DE,0.45,,,,,31.12.1994,,12.0594816,48.19415649,{'JRC': ['00000']},
Bio 93,Bioenergy,OCGT,CHP,DE,0.028,,,,,31.12.1994,,10.1798963,48.62445201,{'JRC': ['00000']},
Bio 94,Bioenergy,OCGT,CHP,DE,3.61,,,,,01.01.1995,,9.351154373,48.34008771,{'JRC': ['00000']},
Bio 95,Bioenergy,OCGT,CHP,DE,1.892,,,,,01.01.1995,,8.174166005,50.01907368,{'JRC': ['00000']},
Bio 96,Bioenergy,OCGT,CHP,DE,0.25,,,,,01.01.1995,,6.371579683,50.71584352,{'JRC': ['00000']},
Bio 97,Bioenergy,OCGT,CHP,DE,0.022,,,,,05.01.1995,,10.30865956,47.78009598,{'JRC': ['00000']},
Bio 98,Bioenergy,OCGT,CHP,DE,0.55,,,,,18.01.1995,,12.72777791,50.78585398,{'JRC': ['00000']},
Bio 99,Bioenergy,OCGT,CHP,DE,0.03,,,,,01.02.1995,,11.42073007,49.90626755,{'JRC': ['00000']},
Bio 100,Bioenergy,OCGT,CHP,DE,1.095,,,,,24.02.1995,,11.06113447,51.05547868,{'JRC': ['00000']},
Bio 101,Bioenergy,OCGT,CHP,DE,0.1,,,,,01.03.1995,,9.946220956,52.81355321,{'JRC': ['00000']},
Bio 102,Bioenergy,OCGT,CHP,DE,0.05,,,,,21.03.1995,,8.236509464,50.1088195,{'JRC': ['00000']},
Bio 103,Bioenergy,OCGT,CHP,DE,0.071,,,,,23.03.1995,,13.54457826,48.81355858,{'JRC': ['00000']},
Bio 104,Bioenergy,OCGT,CHP,DE,4.128,,,,,10.04.1995,,10.88374683,53.84837729,{'JRC': ['00000']},
Bio 105,Bioenergy,OCGT,CHP,DE,0.104,,,,,27.04.1995,,9.648801048,48.0099165,{'JRC': ['00000']},
Bio 106,Bioenergy,OCGT,CHP,DE,0.15,,,,,20.06.1995,,10.07847948,47.706718,{'JRC': ['00000']},
Bio 107,Bioenergy,OCGT,CHP,DE,0.08,,,,,22.06.1995,,9.978887983,54.30214739,{'JRC': ['00000']},
Bio 108,Bioenergy,OCGT,CHP,DE,0.8,,,,,01.07.1995,,8.025411579,51.85787759,{'JRC': ['00000']},
Bio 109,Bioenergy,OCGT,CHP,DE,0.255,,,,,01.07.1995,,8.45235804,50.60494831,{'JRC': ['00000']},
Bio 110,Bioenergy,OCGT,CHP,DE,0.015,,,,,01.07.1995,,11.89072788,47.82195416,{'JRC': ['00000']},
Bio 111,Bioenergy,OCGT,CHP,DE,0.19,,,,,06.07.1995,,9.14253776,53.49045302,{'JRC': ['00000']},
Bio 112,Bioenergy,OCGT,CHP,DE,0.011,,,,,01.08.1995,,10.1965125,47.70369498,{'JRC': ['00000']},
Bio 113,Bioenergy,OCGT,CHP,DE,0.14,,,,,08.08.1995,,11.90829275,48.72708614,{'JRC': ['00000']},
Bio 114,Bioenergy,OCGT,CHP,DE,0.734,,,,,24.08.1995,,8.781014734,50.32388723,{'JRC': ['00000']},
Bio 115,Bioenergy,OCGT,CHP,DE,0.019,,,,,01.09.1995,,10.41165512,54.05121023,{'JRC': ['00000']},
